subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code
ru,www3.bankofamerica.com.id06e.newmail.ru,ru,secure_membin_BankOfAmeri_caemail_id43432gjg98987ihgwq72k9878e.htm?secure=yes,117,77,0,4.006573937300012,110.0,2023,,2024,
com,ebay.sev-as.com,com,ws/eZISAPI.dll?Checkout&refererpage=5&rp=665561577,66,50,0,3.3735572622751846,1657.0,2019,2023,2024,RU
pl,www.rapidmaster.yoyo.pl,pl,login.php,33,9,0,3.6753108689123644,,,,,
com,friendsterloginalert.007gb.com,com,,31,0,0,4.056564762130954,5555.0,2008,2023,2024,DE
com,friendster-6460.007gb.com,com,,26,0,0,4.133660689688185,5555.0,2008,2023,2024,DE
com,friendsterlogin1.007gb.com,com,,27,0,0,4.085055102756477,5555.0,2008,2023,2024,DE
com,friendsterlogin.007gb.com,com,?,27,1,0,4.003856189774724,5555.0,2008,2023,2024,DE
com,jmvovillo.007gb.com,com,,20,0,0,3.4713544870139286,5555.0,2008,2023,2024,DE
com,friendster.007gb.com,com,,21,0,0,3.921928094887362,5555.0,2008,2023,2024,DE
com,www.hatzlacha.com,com,images/cw/comm/index.html,43,25,0,3.1751231351134614,7660.0,2002,2022,2023,US
com,steamcommunityaddons.5nxs.com,com,,30,0,0,3.745406425938248,5451.0,2008,2023,2024,DE
com,embratoor.ahlamontada.com,com,,26,0,0,3.4292750707107125,5905.0,2007,2022,2027,US
com,vanessatohand.iamspace.com,com,files/a.htm?c=www.megaupload.com/?d=IYIG83WF,71,44,0,3.609496334425697,5296.0,2009,2022,2024,US
net,steemcommunity.5webs.net,net,,25,0,0,3.605388542207534,5451.0,2008,2023,2024,DE
tk,www.steampoweredt.tk,tk,,21,0,0,3.3464393446710154,,,,,
ru,commbansecurewealth.pochta.ru,ru,personal/,39,9,0,3.8833374604210067,7929.0,2001,,2023,
cz,www.bohemiajesuitica.cz,cz,web/en/images/hm.php,44,20,0,3.7622673906514947,,,,,
th,gboard.tup.ac.th,th,appserv/inde.html,34,17,0,3.452819531114783,8903.0,08 M,07 J,07 M,TH
pl,rapidshare.com.xx.pl,pl,,21,0,0,3.6841837197791887,,,,,
com,wirerover.com,com,webalizer/index3.html,35,21,0,3.0269868333592873,8540.0,2000,2023,2024,IS
ru,secure.regions.com.id8321.newmail.ru,ru,secure_membin_Regions_Online_user_id43432gjg98982beh32k9878e.htm?securelogin=yes,117,80,0,4.027719015921096,110.0,2023,,2024,
com,comicpants.com,com,cgi-bin/new/server-secure/halifax.co.uk/formslogin.php,69,54,0,3.182005814760214,6190.0,2006,2020,2024,US
com,mail.clarionhotelifsc.com,com,aspnet_client/system_web/2_0_50727/what.html,70,44,0,3.6430741894285683,8276.0,2000,2022,2023,US
pl,www.szorcik.pl,pl,39k,18,3,0,3.3248629576173574,,,,,
com,friendsterlogin.007gb.com,com,,26,0,0,4.003856189774724,5555.0,2008,2023,2024,DE
la,steamcomnunity.c.la,la,,20,0,0,3.6163485660751635,,,,,
pl,rapidshareproxy.xx.pl,pl,,22,0,0,3.52257158913636,,,,,
com,www.kffclub.com,com,technote7/data/member/index.php,47,31,0,3.1898980954642866,,,,,
tc,www.optuszoo-myaccount.pro.tc,tc,,30,0,0,3.663870978469273,3154.0,2014,,2024,
ma,steampowered.cn.ma,ma,,19,0,0,3.572431251322119,694.0,2021,2023,2024,
net,7opelomr.ahlamontada.net,net,#iNUCont,33,8,0,3.5535088547976783,5905.0,2007,2022,2025,US
net,safeer.alafdal.net,net,,19,0,0,3.127986806877675,5549.0,2008,2022,2025,US
com,rs-files-188542433.9hz.com,com,,27,0,0,4.238901256602631,7838.0,2002,2023,2024,BE
ms,www.mtnonline.info.ms,ms,,22,0,0,3.2728043273346197,,,,,
com,progvcd.com,com,,12,0,0,3.095795255000934,267.0,2022,2022,2023,NL
pn,www.ebay-cgi.au.pn,pn,,19,0,0,3.530493056757482,,,,,
com,rapidshare-files-203747586.9hz.com,com,,35,0,0,4.558051076544457,7838.0,2002,2023,2024,BE
com,ffv-9.9hz.com,com,,14,0,0,3.238901256602631,7838.0,2002,2023,2024,BE
com,onlinesecurityaccess.9hz.com,com,,29,0,0,3.8962915290459277,7838.0,2002,2023,2024,BE
com,www.csbetaonline.9hz.com,com,,25,0,0,3.8553885422075345,7838.0,2002,2023,2024,BE
ru,titolari.cartasi.it.nm.ru,ru,,26,0,0,3.303465189601646,8571.0,2000,,2024,
com,www.tscinternational.com,com,cat2007/tscpyrof.do,44,19,0,3.5739348962840563,9591.0,1997,2023,2024,US
org,staffhotmail.de-france.org,org,,27,0,0,3.9500637564362098,1845.0,2018,2023,2024,FR
com,megaupload.007sites.com,com,,24,0,0,3.914866303883101,5675.0,2008,2022,2024,DE
com,hatzlacha.com,com,images/cw/comm/index.html,39,25,0,3.0269868333592873,7660.0,2002,2022,2023,US
de,www.clubtaunus.soroptimist.de,de,img/ha.php,40,10,0,3.9002417706166295,,,2020,,
com,blizzard-survey.9hz.com,com,,24,0,0,4.142914673354254,7838.0,2002,2023,2024,BE
tf,www.SteamSecurity.us.tf,tf,,23,0,0,3.6424896731661263,8933.0,1999,2022,2023,
tf,www.steamsecurity.us.tf,tf,,24,0,0,3.5227119556807582,8933.0,1999,2022,2023,
de,www.clubtaunus.soroptimist.de,de,img/pro/e.php,43,13,0,3.9002417706166295,,,2020,,
de,www.clubtaunus.soroptimist.de,de,s.php,35,5,0,3.9002417706166295,,,2020,,
com,stickam.com.login.do.googlepages.com,com,login.html,47,10,0,3.6524474880231264,8394.0,2000,2023,2024,US
de,www.clubtaunus.soroptimist.de,de,img/pro/b.php,43,13,0,3.9002417706166295,,,2020,,
com,www.actemm.com,com,Images/....htm,29,14,0,2.8423709931771093,6065.0,2006,2019,2024,US
ru,www2.cashmanager.com.front.ru,ru,secure_membin_Cashmanagementonline_email_id43432gjg98982beh32k9878e.htm?securelogin=yes,117,87,0,3.8143719431796272,110.0,2023,,2024,
com,easymyfriends.blogspot.com,com,,27,0,0,4.026986833359286,,,,,
gg,google-html.tr.gg,gg,G_Mail.htm?PHPSESSID=b3eb2da64cad2743e6c73bc527732ac3,71,53,0,3.146286370662105,5897.0,31 M,,,
fr,backdoors.sup.fr,fr,,17,0,0,3.5,5528.0,2008,2022,2026,
de,www.clubtaunus.soroptimist.de,de,img/u.php,39,9,0,3.9002417706166295,,,2020,,
net,alkadria.1talk.net,net,#iNUCont,27,8,0,3.2810361125534233,6072.0,2006,2022,2024,US
com,creditgratosse.blogspot.com,com,2008/01/connnectoi_03.html,54,26,0,3.7360069464476564,,,,,
com,anted.webobo.com,com,html.php?id_menu=1694759,41,24,0,3.327819531114783,1412.0,2019,2022,2023,US
com,habbo999.zeblog.com,com,,20,0,0,3.3918926446809308,7023.0,2004,2022,2025,FR
com,creditgratosse.blogspot.com,com,,28,0,0,3.7360069464476564,,,,,
tl,www.rajaraja.page.tl,tl,Orkut.htm,30,9,0,3.065957320949175,6329.0,2006,2023,2024,DE
gg,www.thekillpvp.tr.gg,gg,Ana-Sayfa.htm?PHPSESSID=31e488b7ead066140d5f2d5275ce73b0,77,56,0,3.446439344671015,5897.0,31 M,,,
pt,www.acatel.pt,pt,images/index.htm?dispatch=5885d80a13c0db1f38432c9462fe7313791b4c12e1039370ae0fd287c76b3e1f,104,90,0,2.873140679513133,,,,,
us,mail.dsisd.k12.mi.us,us,log/onlineserver/titolari.cartasi.it/index.html,68,47,0,3.2464393446710154,,,,,
com,habbhelp.cabanova.com,com,,22,0,0,3.403989446485262,8140.0,2001,2023,2024,RO
com,coins4you.cabanova.com,com,page3.html,33,10,0,3.4817145729860726,8140.0,2001,2023,2024,RO
ru,cartasiii.nm.ru,ru,,15,0,0,3.189898095464287,8571.0,2000,,2024,
it,habbocredtiperhabbo.myblog.it,it,,30,0,0,3.8109283062792874,,,,,
com,caseyroxthehouse.blogspot.com,com,,30,0,0,3.853863219997788,,,,,
com,vistatitka.blogspot.com,com,#HTML1,30,6,0,3.621175542919471,,,,,
fr,credits76150.cabanova.fr,fr,,25,0,0,4.136842188131012,7766.0,2002,2023,2024,DE
fr,arceus77120.cabanova.fr,fr,page2.html,34,10,0,3.82790978214397,7766.0,2002,2023,2024,DE
fr,h4boo-cr3dit.cabanova.fr,fr,page2.html,35,10,0,3.855388542207534,7766.0,2002,2023,2024,DE
fr,1000credi.cabanova.fr,fr,page2.html,32,10,0,3.653756708287001,7766.0,2002,2023,2024,DE
fr,100magow-gratos.cabanova.fr,fr,page2.html,38,10,0,3.8524975771042005,7766.0,2002,2023,2024,DE
fr,naw-naw12-staff.cabanova.fr,fr,page3.html,38,10,0,3.6060152796207334,7766.0,2002,2023,2024,DE
fr,naw-naw12-staff.cabanova.fr,fr,page2.html,38,10,0,3.6060152796207334,7766.0,2002,2023,2024,DE
fr,naw-naw12-staff.cabanova.fr,fr,page1.html,38,10,0,3.6060152796207334,7766.0,2002,2023,2024,DE
fr,creditagosgos.cabanova.fr,fr,page2.html,36,10,0,3.7336606896881857,7766.0,2002,2023,2024,DE
fr,ilanlebg.cabanova.fr,fr,,21,0,0,3.5219280948873624,7766.0,2002,2023,2024,DE
fr,creditigratuit.cabanova.fr,fr,,27,0,0,3.6902603909683838,7766.0,2002,2023,2024,DE
fr,dimanibrahim.cabanova.fr,fr,page2.html,35,10,0,3.486440501696145,7766.0,2002,2023,2024,DE
fr,crediction.cabanova.fr,fr,page5.html,33,10,0,3.5726236638951634,7766.0,2002,2023,2024,DE
fr,creditgratuit09.cabanova.fr,fr,,28,0,0,3.8841550945958057,7766.0,2002,2023,2024,DE
fr,credditos.cabanova.fr,fr,page2.html,32,10,0,3.689703732199547,7766.0,2002,2023,2024,DE
com,my-blog-magico.blogspot.com,com,,28,0,0,3.602316558505553,,,,,
com,blazeblok.blogspot.com,com,2008/06/blog-post_9853.html#HTML7,56,33,0,3.5726236638951625,,,,,
com,regalifurnihcecrdt.blogspot.com,com,,32,0,0,4.106949132758152,,,,,
com,habbo-gratis-hg.blogspot.com,com,,29,0,0,3.7534343861887853,,,,,
com,hotelroby.blogspot.com,com,#overlay,31,8,0,3.568084324344714,,,,,
nr,www.steamde.co.nr,nr,,18,0,0,3.4104172527605203,19561.0,1970,2001,,
com,chardu.e-monsite.com,com,,21,0,0,3.8219280948873617,7081.0,2004,2020,2030,FR
ru,p0steonline.nm.ru,ru,,17,0,0,3.572469458770136,8571.0,2000,,2024,
cz,www.xfitness-shop.cz,cz,myfiles/file/PayPal/navod.html,51,30,0,3.746439344671015,5449.0,21.0,25.0,21.0,CZ
com,habbo-igual.blogspot.com,com,#login-habblet,39,14,0,3.7201755214643453,,,,,
com,habboclubehc.blogspot.com,com,2008_04_01_archive.html,49,23,0,3.5736606896881846,,,,,
com,hotelhabbol08.blogspot.com,com,,27,0,0,3.6573852766501784,,,,,
cx,windows-live-messenger.ca.cx,cx,,29,0,0,3.9232517969803373,420.0,2022,2022,2025,CN
tc,www.habbo-credits.eu.tc,tc,,24,0,0,3.7622673906514947,,,,,
ru,postaa.nm.ru,ru,,13,0,0,3.2516291673878226,8571.0,2000,,2024,
am,www.taler-generator.wg.am,am,,26,0,0,3.403074189428569,5952.0,2007,2023,2024,AM
am,habbo-loginn.wg.am,am,,19,0,0,3.503258334775645,5952.0,2007,2023,2024,AM
org,www.xljdr.org,org,fichiers/plaquette21/index.htm,44,30,0,3.0269868333592873,6812.0,2004,2023,2026,FR
il,www.2all.co.il,il,web/Sites/clubpenguin/PAGE107.asp#i1055,54,39,0,2.78845045730829,6867.0,03-1,25-0,03-1,IL
com,habbohack2.blogspot.com,com,,24,0,0,3.6211755429194716,,,,,
com,creditihabbogratuiti.blogspot.com,com,,34,0,0,3.8700035889898636,,,,,
com,www.eppicard.steelespaint.com,com,sitelogonclient/index.html,56,26,0,3.7454064259382482,8842.0,1999,2022,2025,CA
il,www.2all.co.il,il,web/Sites/clubpenguin/PAGE107.asp#su,51,36,0,2.78845045730829,6867.0,03-1,25-0,03-1,IL
net,www.jrrs.net,net,.pp/webscr1.htm?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,125,112,0,2.8553885422075336,5086.0,2009,2009,2024,CN
com,paypal.com-us.cgi-bin-webscr-cmd.login-submit-dispatch.685793560597334893693567583758975375947547658795446785654909.jasminebharuchamusic.com,com,cdd93279f5bf3dfc697dfe24ab2d491f/login.php,183,42,0,4.626449083374675,1465.0,2019,2023,2024,CA
