URL,subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code,Label
nobell.it/70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,it,nobell.it,it,70ffb52d079109dca5664cce6f317373782/login.SkyPe.com/en/cgi-bin/verification/login/70ffb52d079109dca5664cce6f317373/index.php?cmd=_profile-ach&outdated_page_tmpl=p/gen/failed-to-load&nav=0.5.1&login_access=1322408526,225,215,0,2.94770277922009,32.0,2023,2023,2024,GB,bad
www.dghjdgf.com/paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,com,www.dghjdgf.com,com,paypal.co.uk/cycgi-bin/webscrcmd=_home-customer&nav=1/loading.php,81,65,0,3.1898980954642866,118.0,2023,2023,2024,US,bad
serviciosbys.com/paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,com,serviciosbys.com,com,paypal.cgi.bin.get-into.herf.secure.dispatch35463256rzr321654641dsf654321874/href/href/href/secure/center/update/limit/seccure/4d7a1ff5c55825a2e632a679c2fd5353/,177,160,0,3.327819531114783,196.0,2023,2023,2024,US,bad
mail.printakid.com/www.online.americanexpress.com/index.html,com,mail.printakid.com,com,www.online.americanexpress.com/index.html,60,41,0,3.5724312513221195,6995.0,2004,2023,2024,US,bad
thewhiskeydregs.com/wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,com,thewhiskeydregs.com,com,wp-content/themes/widescreen/includes/temp/promocoessmiles/?84784787824HDJNDJDSJSHD//2724782784/,116,96,0,3.7871439606981383,223.0,2022,2023,2023,US,bad
smilesvoegol.servebbs.org/voegol.php,org,smilesvoegol.servebbs.org,org,voegol.php,36,10,0,3.3336606896881857,6590.0,2005,2023,2024,US,bad
premierpaymentprocessing.com/includes/boleto-2via-07-2012.php,com,premierpaymentprocessing.com,com,includes/boleto-2via-07-2012.php,61,32,0,3.6550455468258045,,,,,,bad
myxxxcollection.com/v1/js/jih321/bpd.com.do/do/l.popular.php,com,myxxxcollection.com,com,v1/js/jih321/bpd.com.do/do/l.popular.php,60,40,0,3.2866294867861945,,,,,,bad
super1000.info/docs,info,super1000.info,info,docs,19,4,0,3.4677201004745006,,,,,,bad
horizonsgallery.com/js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,com,horizonsgallery.com,com,js/bin/ssl1/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&amp;dispatch=1471c4bdb044ae2be9e2fc3ec514b88b1471c4bdb044ae2be9e2fc3ec514b88b,193,173,0,3.7871439606981383,2446.0,2016,2022,2023,US,bad
phlebolog.com.ua/libraries/joomla/results.php,ua,phlebolog.com.ua,ua,libraries/joomla/results.php,45,28,0,3.452819531114783,4988.0,2009,2022,2023,UA,bad
docs.google.com/spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,com,docs.google.com,com,spreadsheet/viewform?formkey=dE5rVEdSV2pBdkpSRy11V3o2eDdwbnc6MQ,79,63,0,2.973557262275185,9440.0,1997,2019,2028,US,bad
www.coincoele.com.br/Scripts/smiles/?pt-br/Paginas/default.aspx,br,www.coincoele.com.br,br,Scripts/smiles/?pt-br/Paginas/default.aspx,63,42,0,3.270950594454668,6164.0,2006,2015,2024,,bad
www.henkdeinumboomkwekerij.nl/language/pdf_fonts/smiles.php,nl,www.henkdeinumboomkwekerij.nl,nl,language/pdf_fonts/smiles.php,59,29,0,3.702471512219747,4532.0,2011,2019,,,bad
perfectsolutionofall.net/wp-content/themes/twentyten/wiresource/,net,perfectsolutionofall.net,net,wp-content/themes/twentyten/wiresource/,64,39,0,3.6258145836939115,,,,,,bad
lingshc.com/old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,com,lingshc.com,com,old_aol.1.3/?Login=&amp;Lis=10&amp;LigertID=1993745&amp;us=1,72,60,0,3.277613436819116,,,,,,bad
anonymeidentity.net/remax./remax.htm,net,anonymeidentity.net,net,remax./remax.htm,36,16,0,3.11583409216322,,,,,,bad
dutchweb.gtphost.com/zimbra/exch/owa/uleth/index.html,com,dutchweb.gtphost.com,com,zimbra/exch/owa/uleth/index.html,53,32,0,3.6841837197791887,,,,,,bad
www.avedeoiro.com/site/plugins/chase/,com,www.avedeoiro.com,com,site/plugins/chase/,37,19,0,3.292770193936991,,,,,,bad
asladconcentration.com/paplkuk1/webscrcmd=_home-customer&nav=1/,com,asladconcentration.com,com,paplkuk1/webscrcmd=_home-customer&nav=1/,63,40,0,3.503997527334848,,,,,,bad
www.regaranch.info/grafika/file/2012/atualizacao/www.itau.com.br/,info,www.regaranch.info,info,grafika/file/2012/atualizacao/www.itau.com.br/,65,46,0,3.4613201402110083,,,,,,bad
optimistic-pessimism.com/aoluserupdatealert.info.htm,com,optimistic-pessimism.com,com,aoluserupdatealert.info.htm,52,27,0,3.101227480952956,580.0,2021,2022,2023,IS,bad
mercadolivre.com.br.premiosfidelidade2012.com.br/confirmar/,br,mercadolivre.com.br.premiosfidelidade2012.com.br,br,confirmar/,59,10,0,3.92696648144045,,,,,,bad
www.everythinggoingon.net/~gpeveryt/home/Email/,net,www.everythinggoingon.net,net,~gpeveryt/home/Email/,47,21,1,3.4332696895151082,,,,,,bad
mercadolivre.com.br.premiosfidelidade2012.com.br/,br,mercadolivre.com.br.premiosfidelidade2012.com.br,br,,49,0,0,3.92696648144045,,,,,,bad
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/,org,www.revitolcream.org,org,wp-content/plugins/all-in-one-seo-pack/rex/secure-code17/security/,87,66,0,3.546439344671015,,,,,,bad
jameshowardmusic.com/wp-content/themes/widescreen/includes/cache/bbnew/bb.php,com,jameshowardmusic.com,com,wp-content/themes/widescreen/includes/cache/bbnew/bb.php,77,56,0,3.6841837197791887,7328.0,2003,2022,2024,US,bad
xini.eu/00Qe,eu,xini.eu,eu,00Qe,12,4,0,2.5216406363433186,,,,,,bad
myxxxcollection.com/v1/js/555klisdr/bpd.com.do/do/l.popular.php,com,myxxxcollection.com,com,v1/js/555klisdr/bpd.com.do/do/l.popular.php,63,43,0,3.2866294867861945,,,,,,bad
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code90/security/,com,paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com,com,secure-code90/security/,135,23,0,4.520492013901288,,,,,,bad
ebayisapidlld.altervista.org/,org,ebayisapidlld.altervista.org,org,,29,0,0,3.7534343861887858,,,,,,bad
horizonsgallery.com/js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,com,horizonsgallery.com,com,js/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/login.php?cmd=_login-run&dispatch=7adb89899b4614aec6715340ae31adce7adb89899b4614aec6715340ae31adce,188,168,0,3.7871439606981383,2446.0,2016,2022,2023,US,bad
www.revitolcream.org/wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php,org,www.revitolcream.org,org,wp-content/plugins/all-in-one-seo-pack/rex/secure-code5/security/login.php,95,74,0,3.546439344671015,,,,,,bad
sontemeda.altervista.org/paypinoko/paypinoko/procesing.php,org,sontemeda.altervista.org,org,paypinoko/paypinoko/procesing.php,58,33,0,3.6572682296173897,,,,,,bad
promusic.co/components/interbank.com/,co,promusic.co,co,components/interbank.com/,37,25,0,3.095795255000934,,,,,,bad
uvb.lg.ua/templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/,ua,uvb.lg.ua,ua,templates/a216/.PayPaI/e9d83d4fd35ff9d702196ab514573999/,66,56,0,2.725480556997868,,,,,,bad
docs.google.com/a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ,com,docs.google.com,com,a/unmsm.edu.pe/spreadsheet/viewform?formkey=dEZoOXQwTzFkaUJCRTdhVlA3cTAyV1E6MQ,94,78,0,2.973557262275185,9440.0,1997,2019,2028,US,bad
remax.com.behinehsazerooyesh.com/remax/index.htm,com,remax.com.behinehsazerooyesh.com,com,remax/index.htm,48,15,0,3.691428031846024,,,,,,bad
www.aclaydance.com/ncpf.php,com,www.aclaydance.com,com,ncpf.php,27,8,0,3.266332639970623,,,,,,bad
phamxuanlinh.tk/secure-code8/security/login.php,tk,phamxuanlinh.tk,tk,secure-code8/security/login.php,47,31,0,3.5068905956085183,,,,,,bad
stthomasedu.ucoz.ua/microsoft.htm,ua,stthomasedu.ucoz.ua,ua,microsoft.htm,33,13,0,3.4713544870139286,,,,,,bad
www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/,com,www.procedimentotamfidelidade.com,com,regulamento/new/processo/atualiza/sacfidelidade/id=1714/,90,56,0,3.740771391823488,,,,,,bad
paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/,com,paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com,com,Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/,103,40,0,4.081403827508574,6305.0,2006,2023,2024,US,bad
tinyurl.com/bswqloj,com,tinyurl.com,com,bswqloj,19,7,0,3.459431618637298,7845.0,2002,2022,2029,US,bad
