URL,subdomain,domain,tld,path_rest,url_length,path_rest_length,num_spcs_chars,domain_entropy,domain_age,created_year,updated_year,expires_year,country_code,Label
www.battlezi.tk/cert/login.asp?ref=us.battle.net/account/management/index.xml&amp;app=bam,tk,www.battlezi.tk,tk,cert/login.asp?ref=us.battle.net/account/management/index.xml&amp;app=bam,89,73,0,3.1395722619867223,,,,,,bad
24wnetrza.pl/images/wseBay923812/,pl,24wnetrza.pl,pl,images/wseBay923812/,33,20,0,3.584962500721156,1500.0,2019,2023,2024,,bad
shabdasnehalibrary.com/xmlrpc/secure-code9/security/login.php,com,shabdasnehalibrary.com,com,xmlrpc/secure-code9/security/login.php,61,38,0,3.732158891364569,4348.0,2011,2022,2023,IN,bad
grande-randonnee.fr/RequetesMySQL/verification/loggedin/verified/f2fbd6b87ede968c496320fc688af120/,fr,grande-randonnee.fr,fr,RequetesMySQL/verification/loggedin/verified/f2fbd6b87ede968c496320fc688af120/,98,78,0,3.1158340921632197,1011.0,2020,2023,2023,,bad
paypal.com.us.cgi-bin.webscr.cmd.cart.business.qu8tnjbvpbbdjlc.bh.item.name.update209804340603426537cmd.xpt.shipping.gt5dt9jsnkk.0qqwwjewpdw.h-zoness.zimf.net/,net,paypal.com.us.cgi-bin.webscr.cmd.cart.business.qu8tnjbvpbbdjlc.bh.item.name.update209804340603426537cmd.xpt.shipping.gt5dt9jsnkk.0qqwwjewpdw.h-zoness.zimf.net,net,,159,0,0,4.823924355301152,,,,,,bad
www.albertaluxuryhotels.com/wp-content/themes/andrea/images/index.php,com,www.albertaluxuryhotels.com,com,wp-content/themes/andrea/images/index.php,69,41,0,3.884155094595805,,,,,,bad
ptr161.sheinet.com.cn:84/,cn:84,ptr161.sheinet.com.cn:84,cn,,25,0,0,3.9701755214643457,8464.0,2000,,2024,,bad
64.233.14.37.dynamic.jazztel.es:84/,es:84,64.233.14.37.dynamic.jazztel.es:84,es,,35,0,0,4.17512313511346,19559.0,1970,2005,,ES,bad
www.skif-lab.kz/media/system/swf/cssadmin9/safe.ssl.confirm.onlinebankingofamerica.com/,kz,www.skif-lab.kz,kz,media/system/swf/cssadmin9/safe.ssl.confirm.onlinebankingofamerica.com/,87,71,0,3.32323142879762,,,,,,bad
www.pedroananias.com.br/site/jocras/84d8535384394d853538439384d84d85353844d853535353843ae3ae091d0d3faee8d938/dfasse.htm?,br,www.pedroananias.com.br,br,site/jocras/84d8535384394d853538439384d84d85353844d853535353843ae3ae091d0d3faee8d938/dfasse.htm?,120,96,0,3.6424896731661263,,,,,,bad
microsoft-webmailaccount.tk/,tk,microsoft-webmailaccount.tk,tk,,28,0,0,4.004344446367529,,,,,,bad
ppdesignplus.rs/images/smilies/file/tradefiles.htm,rs,ppdesignplus.rs,rs,images/smilies/file/tradefiles.htm,50,34,0,3.2729055953200556,5431.0,06.0,19.0,06.0,RS,bad
www.audreyetolivier.com/lesite/remax/index.htm,com,www.audreyetolivier.com,com,lesite/remax/index.htm,46,22,0,3.7622673906514947,4267.0,2011,2022,2023,FR,bad
www.pm5.org/bhajanojha/mail0aol36472aolfamericaonlineupdate.htm,org,www.pm5.org,org,bhajanojha/mail0aol36472aolfamericaonlineupdate.htm,63,51,0,2.845350936622437,6632.0,2005,2023,2024,US,bad
bradtsics.org/cGFzY2FsLnVlYmVyc2F4QGJsdWV3aW4uY2g=/DEsdR/cgijwzx3qs9Ty27u6e,org,bradtsics.org,org,cGFzY2FsLnVlYmVyc2F4QGJsdWV3aW4uY2g=/DEsdR/cgijwzx3qs9Ty27u6e,75,61,0,3.3927474104487847,,,,,,bad
